기간,지역,출생건수(명),사망건수(명)
2019,합계,53673,43829
2019,종로구,673,854
2019,중구,783,665
2019,용산구,1314,1107
2019,성동구,2191,1369
2019,광진구,1957,1385
2019,동대문구,1884,1851
2019,중랑구,2244,2049
2019,성북구,2147,2184
2019,강북구,1227,1874
2019,도봉구,1483,1836
2019,노원구,2604,2668
2019,은평구,2407,2315
2019,서대문구,1521,1555
2019,마포구,2334,1563
2019,양천구,2222,1900
2019,강서구,3841,2691
2019,구로구,2460,1811
2019,금천구,1154,1199
2019,영등포구,2633,1708
2019,동작구,2227,1703
2019,관악구,2245,2107
2019,서초구,2512,1421
2019,강남구,2749,1838
2019,송파구,4424,2278
2019,강동구,2437,1898
