기간,지역,출생건수(명),사망건수(명)
2016,합계,75536,43540
2016,종로구,846,823
2016,중구,959,669
2016,용산구,1708,1137
2016,성동구,2531,1304
2016,광진구,2767,1344
2016,동대문구,2383,1921
2016,중랑구,3085,2013
2016,성북구,3060,2139
2016,강북구,1965,1845
2016,도봉구,2249,1819
2016,노원구,4176,2803
2016,은평구,3522,2474
2016,서대문구,2201,1514
2016,마포구,3392,1621
2016,양천구,3334,1891
2016,강서구,5456,2594
2016,구로구,3736,1794
2016,금천구,1595,1163
2016,영등포구,3282,1643
2016,동작구,3184,1667
2016,관악구,3561,2137
2016,서초구,3629,1480
2016,강남구,4122,1780
2016,송파구,5500,2174
2016,강동구,3293,1791
