기간,지역,출생건수(명),사망건수(명)
2015,합계,83005,43053
2015,종로구,906,829
2015,중구,950,689
2015,용산구,1967,1113
2015,성동구,2753,1244
2015,광진구,2951,1472
2015,동대문구,2687,1833
2015,중랑구,3368,2050
2015,성북구,3514,2154
2015,강북구,2164,1854
2015,도봉구,2481,1776
2015,노원구,4462,2763
2015,은평구,3870,2309
2015,서대문구,2175,1516
2015,마포구,3626,1593
2015,양천구,3526,1898
2015,강서구,5812,2573
2015,구로구,4257,1731
2015,금천구,1885,1139
2015,영등포구,3611,1701
2015,동작구,3643,1677
2015,관악구,3960,2008
2015,서초구,4078,1396
2015,강남구,4595,1751
2015,송파구,5899,2127
2015,강동구,3865,1857
