기간,지역,출생건수(명),사망건수(명)
2017,합계,65389,42932
2017,종로구,689,826
2017,중구,808,684
2017,용산구,1464,1150
2017,성동구,2462,1399
2017,광진구,2347,1346
2017,동대문구,2117,1780
2017,중랑구,2744,2068
2017,성북구,2631,2097
2017,강북구,1772,1873
2017,도봉구,1906,1739
2017,노원구,3494,2645
2017,은평구,2930,2403
2017,서대문구,1911,1507
2017,마포구,2812,1533
2017,양천구,2876,1805
2017,강서구,4800,2574
2017,구로구,3139,1749
2017,금천구,1498,1167
2017,영등포구,2805,1560
2017,동작구,2814,1641
2017,관악구,2931,2068
2017,서초구,3039,1446
2017,강남구,3456,1756
2017,송파구,4976,2239
2017,강동구,2968,1877
