기간,지역,출생건수(명),사망건수(명)
2020,합계,47445,45522
2020,종로구,529,867
2020,중구,690,723
2020,용산구,1176,1145
2020,성동구,1945,1363
2020,광진구,1532,1486
2020,동대문구,1702,1911
2020,중랑구,1873,2245
2020,성북구,2041,2265
2020,강북구,1049,1968
2020,도봉구,1218,1920
2020,노원구,2252,2699
2020,은평구,2144,2623
2020,서대문구,1533,1676
2020,마포구,2015,1653
2020,양천구,1875,1921
2020,강서구,3345,2694
2020,구로구,2269,1892
2020,금천구,1092,1245
2020,영등포구,2296,1746
2020,동작구,2044,1770
2020,관악구,1905,2209
2020,서초구,2238,1433
2020,강남구,2356,1867
2020,송파구,3791,2300
2020,강동구,2535,1901
