t-Test: Two-Sample Assuming Unequal Variances,,
,,
,Variable 1,Variable 2
Mean,4710.892857,4533.333291
Variance,111038.0992,174491.9875
Observations,28,28
Hypothesized Mean Difference,0,
df,51,
t Stat,1.758316907,
P(T<=t) one-tail,0.042346661,
t Critical one-tail,1.67528495,
P(T<=t) two-tail,0.084693322,
t Critical two-tail,2.00758377,
