t-Test: Two-Sample Assuming Unequal Variances,,
,,
,Variable 1,Variable 2
Mean,6997.428571,5479.788333
Variance,87669.73545,230280.5593
Observations,28,28
Hypothesized Mean Difference,0,
df,45,
t Stat,14.24190985,
P(T<=t) one-tail,1.38712E-18,
t Critical one-tail,1.679427393,
P(T<=t) two-tail,2.77425E-18,
t Critical two-tail,2.014103389,
