id,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,점포수
5571,2014,1,골목상권,남부순환로40길,슈퍼마켓,372175723,8
5572,2014,1,골목상권,남부순환로40길,일반의류,122681003,23
5576,2014,1,골목상권,남부순환로40길,한식음식점,601655070,20
5577,2014,1,골목상권,남부순환로40길,커피-음료,15754387,4
5579,2014,1,골목상권,남부순환로40길,화장품,92005645,4
5580,2014,1,골목상권,남부순환로40길,가구,7359754,1
5583,2014,1,골목상권,중앙로36길,한식음식점,603430382,15
5584,2014,1,골목상권,중앙로36길,미용실,41466862,8
5586,2014,1,골목상권,중앙로32길,분식전문점,109605987,8
5587,2014,1,골목상권,중앙로32길,변호사사무소,1752194151,9
5592,2014,1,골목상권,중앙로32길,당구장,16371097,1
5593,2014,1,골목상권,중앙로32길,미용실,47344030,4
5595,2014,1,골목상권,은행정로5길,치과의원,84968290,1
5596,2014,1,골목상권,은행정로5길,고시원,694,2
5599,2014,1,골목상권,은행정로5길,가구,212332686,2
5600,2014,1,골목상권,은행정로5길,반찬가게,6829622,4
5602,2014,1,골목상권,중앙로32길,반찬가게,16572326,2
5603,2014,1,골목상권,중앙로32길,일반의원,175910288,3
5607,2014,1,골목상권,중앙로32길,의약품,65038031,1
5608,2014,1,골목상권,중앙로32길,화장품,20378386,4
5610,2014,1,골목상권,중앙로36길,호프-간이주점,53952551,4
5611,2014,1,골목상권,중앙로36길,외국어학원,100990375,4
5614,2014,1,골목상권,중앙로36길,일반의원,78502323,1
5615,2014,1,골목상권,중앙로36길,독서실,24430178,1
5617,2014,1,골목상권,중앙로36길,화장품,9074549,4
5618,2014,1,골목상권,곰달래로2길,한식음식점,847918822,14
5620,2014,1,골목상권,목동동로12길,자전거 및 기타운송장비,510548890,0
5637,2014,1,골목상권,목동중앙서로8가길,운동/경기용품,208252502,2
5638,2014,1,골목상권,곰달래로10길,패스트푸드점,25356346,0
5642,2014,1,골목상권,곰달래로2길,의약품,7629810,3
5643,2014,1,골목상권,목동중앙서로8가길,고시원,26443160,0
5645,2014,1,골목상권,중앙로55길,슈퍼마켓,1357444132,11
5646,2014,1,골목상권,곰달래로5길,일반의원,105697167,2
5649,2014,1,골목상권,곰달래로5길,완구,28975976,1
5653,2014,1,골목상권,화곡로3길,일반의원,174446149,1
5658,2014,1,골목상권,화곡로3길,중식음식점,46981001,2
5659,2014,1,골목상권,화곡로3길,시계및귀금속,11929194,1
5666,2014,1,골목상권,남부순환로33길,커피-음료,3175449,1
5668,2014,1,골목상권,남부순환로33길,슈퍼마켓,437904579,5
5669,2014,1,골목상권,화곡로4길,슈퍼마켓,15954756,2
5673,2014,1,골목상권,화곡로4길,자동차부품,62374176,2
5674,2014,1,골목상권,신월로20길,한식음식점,430345338,15
5676,2014,1,골목상권,신월로20길,치킨전문점,35268115,2
5677,2014,1,골목상권,신월로20길,철물점,7904919,2
5684,2014,1,골목상권,남부순환로79길,한식음식점,262497106,18
5690,2014,1,골목상권,남부순환로79길,신발,2878308,1
5691,2014,1,골목상권,남부순환로79길,분식전문점,40256533,7
5693,2014,1,골목상권,중앙로51길,문구,57127722,3
5694,2014,1,골목상권,중앙로51길,제과점,298674687,2
5697,2014,1,골목상권,중앙로51길,육류판매,200597865,2
5698,2014,1,골목상권,중앙로51길,가전제품수리,1129319,1
