id,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,점포수
1114,2014,1,골목상권,당산로37길,육류판매,78049780,2
1116,2014,1,골목상권,도림로147길,미용실,17235530,2
1124,2014,1,골목상권,도림로147길,자동차부품,345155655,2
1129,2014,1,골목상권,대림로7길,철물점,4639618,1
1131,2014,1,골목상권,경인로77길,일반의류,21065332,4
1240,2014,1,골목상권,당산로31길,화장품,175183867,3
1241,2014,1,골목상권,당산로31길,사진관,20038554,1
1244,2014,1,골목상권,당산로31길,서적,84000000,1
1253,2014,1,골목상권,당산로31길,양식음식점,84605059,4
1254,2014,1,골목상권,영등포로27길,치킨전문점,141704612,2
1256,2014,1,발달상권,영등포유통상가,일식음식점,80306681,1
1257,2014,1,발달상권,영등포유통상가,인테리어,66840480,4
1260,2014,1,발달상권,영등포유통상가,자동차부품,910338070,6
1261,2014,1,골목상권,영등포로27길,당구장,22938691,1
1263,2014,1,골목상권,당산로46길,스포츠 강습,27085842,2
1276,2014,1,골목상권,당산로46길,일반의원,958609103,5
1277,2014,1,골목상권,영등포로35길,여관,72421207,9
1278,2014,1,골목상권,당산로37길,미용실,13998645,1
1283,2014,1,골목상권,대림로31길,예술학원,17423609,0
1286,2014,1,골목상권,당산로37길,문구,24330413,4
1287,2014,1,골목상권,여의대방로61길,화장품,4214184,4
1289,2014,1,골목상권,여의대방로61길,일반의류,38877034,4
1290,2014,1,골목상권,영등포로84길,분식전문점,108896033,6
1293,2014,1,골목상권,영등포로84길,노래방,288421666,10
1294,2014,1,골목상권,영등포로84길,완구,33593099,1
1296,2014,1,골목상권,영등포로84길,커피-음료,43333206,4
1297,2014,1,골목상권,영등포로84길,PC방,65147174,6
1298,2014,1,골목상권,양평로22라길,스포츠클럽,43030349,1
1301,2014,1,골목상권,선유서로25길,중식음식점,110402107,2
1302,2014,1,골목상권,선유서로25길,커피-음료,63726582,6
1304,2014,1,골목상권,선유서로25길,슈퍼마켓,388828397,8
1305,2014,1,골목상권,선유서로25길,자동차수리,104063986,3
1308,2014,1,골목상권,선유서로25길,일반교습학원,12090189,0
1309,2014,1,골목상권,선유서로25길,육류판매,28759870,0
1311,2014,1,골목상권,선유서로24길,제과점,21194049,1
1312,2014,1,골목상권,선유서로24길,일식음식점,47334888,1
1317,2014,1,전통시장,양남시장,한식음식점,9056799,2
1318,2014,1,골목상권,선유서로24길,자동차미용,17905357,0
1320,2014,1,골목상권,양평로28길,한식음식점,155536771,10
1321,2014,1,골목상권,양평로22라길,호프-간이주점,222779013,6
1324,2014,1,골목상권,양평로22라길,편의점,603148676,4
1328,2014,1,골목상권,도신로15길,호프-간이주점,147806237,6
1332,2014,1,골목상권,도신로15길,편의점,598331800,2
1333,2014,1,골목상권,도신로15길,세탁소,4813972,2
1335,2014,1,골목상권,양평로19길,커피-음료,301988788,14
1336,2014,1,골목상권,도신로29길,일반교습학원,223989607,4
1339,2014,1,골목상권,도신로15길,분식전문점,29767106,1
1340,2014,1,골목상권,도림로112길,편의점,161481512,1
1360,2014,1,골목상권,양평로19길,한의원,138792050,1
1364,2014,1,골목상권,양평로19길,안경,255159545,3
1365,2014,1,골목상권,양평로19길,문구,212875243,5
1371,2014,1,골목상권,양평로19길,슈퍼마켓,65041135,7
1372,2014,1,골목상권,양평로19길,핸드폰,13570082,2
1375,2014,1,골목상권,양평로22라길,제과점,67410631,1
1380,2014,1,골목상권,양평로22라길,분식전문점,84164145,3
1383,2014,1,골목상권,양평로19길,일식음식점,359667430,6
1384,2014,1,골목상권,양평로19길,제과점,273805704,3
1387,2014,1,골목상권,양평로19길,분식전문점,103467145,9
1388,2014,1,골목상권,양평로19길,자동차미용,16331335,1
1390,2014,1,골목상권,도신로62길,미용실,28634880,3
